dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022042115,,,,,,,,,101,73
2022042116,,,,,,,,,101,73
2022042117,,,,,,,,,101,73
2022042118,,,,,,,,,101,73
2022042119,,,,,,,,,101,73
2022042120,,,,,,,,,101,73
2022042121,,,,,,,,,101,73
2022042122,,,,,,,,,101,73
2022042123,,,,,,,,,101,73
2022042124,,,,,,,,,101,73
2022042201,,,,,,,,,101,73
2022042202,,,,,,,,,101,73
2022042203,,,,,,,,,101,73
2022042204,,,,,,,,,101,73
2022042205,,,,,,,,,101,73
2022042206,,,,,,,,,101,73
2022042207,,,,,,,,,101,73
2022042208,,,,,,,,,101,73
2022042209,,,,,,,,,101,73
2022042210,,,,,,,,,101,73
2022042211,,,,,,,,,101,73
