dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022042115,,,,,,,,,99,71
2022042116,,,,,,,,,99,71
2022042117,,,,,,,,,99,71
2022042118,,,,,,,,,99,71
2022042119,,,,,,,,,99,71
2022042120,,,,,,,,,99,71
2022042121,,,,,,,,,99,71
2022042122,,,,,,,,,99,71
2022042123,,,,,,,,,99,71
2022042124,,,,,,,,,99,71
2022042201,,,,,,,,,99,71
2022042202,,,,,,,,,99,71
2022042203,,,,,,,,,99,71
2022042204,,,,,,,,,99,71
2022042205,,,,,,,,,99,71
2022042206,,,,,,,,,99,71
2022042207,,,,,,,,,99,71
2022042208,,,,,,,,,99,71
2022042209,,,,,,,,,99,71
2022042210,,,,,,,,,99,71
2022042211,,,,,,,,,99,71
